timestamp,participant_fk,overall_experience,project,project_extracted,project_experience,role,role_demographics,prog_language,active,milestone,expiration,issues,assignees,postponed_issues,labels,merges,participants,assignee_exp,reporter_popularity,stratified_role,gitlab
10/2/2017 19:03:54,1,4,NA,NA,4,1,Developer,Java,2,Yes,3,3,4,2,4,2,4,2,4,developer,0
10/4/2017 4:29:52,2,10,NA,NA,2,Developer,Developer,Python,5,Yes,3,2,4,4,1,3,4,4,2,developer,0
10/4/2017 4:31:14,3,10,nodejs modbus stream,Nodejs modbus stream,2,developer,Developer,nodejs,5,No,2,3,4,4,1,3,4,4,1,developer,0
10/4/2017 10:20:39,4,10,pmctire.com,Pmctire.com,1,Lead programmer,Lead developer,"PHP, JS, HTML, CSS, etc.",5,Yes,3,4,3,3,3,4,3,4,3,lead,0
10/5/2017 16:15:32,5,5,Latis project,Latis project,0,Developer,Developer,"C/c++, java",2,Yes,3,NA,NA,NA,NA,NA,NA,NA,NA,developer,0
10/6/2017 6:38:42,6,5,Puppet modules,Puppet,4,Ops / devops / ops automation,DevOps,"Puppet, ruby",4,No,1,4,3,4,1,2,4,4,2,developer,0
10/6/2017 6:38:52,7,10,mobile fiance,Mobile fiance,5,Architect,Architect,Java / Erlang / Objective-C ,5,Yes,2,4,3,4,1,4,4,4,1,lead,0
10/6/2017 6:48:01,8,4,homee,Homee,3,"lead developer, CTO",Lead developer,"c++, javascript, swift, java",5,Yes,3,4,2,4,1,4,4,4,2,lead,0
10/6/2017 6:49:25,9,9,frontendReboot,FrontendReboot,1,Developer,Developer,javascript,5,No,3,1,2,2,3,3,3,4,1,developer,0
10/6/2017 7:02:58,10,10,AP,AP,5,Architect,Architect,Java,2,Yes,1,4,4,2,1,2,4,4,1,lead,0
10/6/2017 7:07:14,11,10,NA,NA,5,developer,Developer,Java,5,No,4,4,2,3,2,4,1,4,3,developer,0
10/6/2017 7:35:16,12,7,GitLab,GitLab,1,Frontend Engineer,Frontend Engineer,JavaScript & Ruby,5,Yes,1,4,1,4,3,2,2,4,2,developer,1
10/6/2017 7:36:38,13,10,InmoPro,InmoPro,0,Lead Developer,Lead developer,Swift,5,Yes,2,2,2,4,1,2,1,4,1,lead,0
10/6/2017 7:47:35,14,10,GitLab EE,GitLab,1,Developer,Developer,"Ruby, Go",5,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,developer,1
10/6/2017 8:18:24,15,5,GitLab,GitLab,4,VP of Product,VP of Product,Ruby,4,Yes,5,4,4,4,2,4,4,4,1,lead,1
10/6/2017 8:36:22,16,8,Research projects,Research projects,0,Analyst,Analyst,python,3,No,5,4,4,3,4,4,4,4,3,lead,0
10/6/2017 9:14:45,17,5,Internal Puppet Code,Puppet,1,Developer,Developer,"Ruby, Puppet, Bash",5,Yes,2,4,4,4,2,3,4,4,4,developer,0
10/6/2017 10:39:56,18,7,Gitlab Community Edition,GitLab,0,UX Designer,UX Designer,Markdown,5,Yes,3,4,4,4,2,3,4,3,3,developer,1
10/6/2017 10:48:01,19,10,Sentinel Elite,Sentinel Elite,1,developer,Developer,C#,5,Yes,2,2,1,3,1,1,1,4,1,developer,0
10/6/2017 12:30:34,20,10,Mailtop,Mailtop,1,Technical Leader,Technical leader,"Ruby, Go",5,Yes,1,4,1,4,1,3,4,4,1,lead,0
10/6/2017 15:34:13,21,10,LoopbackJS,LoopbackJS,2,Contributor,Contributor,Nodejs,2,No,4,3,3,4,4,1,2,2,2,developer,0
10/6/2017 22:13:53,22,0,NewVidLand,NewVidLand,2,"Developer, tester, everything ",Everything,Ruby,5,No,5,4,4,4,2,2,4,4,4,lead,0
10/7/2017 0:09:13,23,5,GitLab,GitLab,1,Frontend Engineer,Frontend Engineer,"JavaScript, Ruby",5,Yes,1,2,3,1,1,1,3,3,1,developer,1
10/7/2017 3:44:54,24,10,internal ecommerce,internal ecommerce,1,technical head,Technical leader,"python, javascript, golang, sql, java",5,Yes,2,4,2,1,2,4,4,4,1,lead,0
10/7/2017 19:47:52,25,0,APP,APP,0,tester,Tester,"JAVA, C+",2,Yes,2,3,4,3,4,4,4,4,3,developer,0
10/8/2017 15:07:26,26,10,Absurde Séance Website,Absurde Seance Website,1,Developer / Product Owner,Lead developer,HTML / SASS / TypeScript / Ruby,5,Yes,3,4,1,4,1,1,1,4,1,lead,0
10/9/2017 10:12:48,27,9,Tarkin,Tarkin,0,Engineer Manager,Engineer Manager,Python,1,Yes,3,3,3,4,2,2,3,4,2,lead,0
10/18/2017 11:01:00,28,10,EdenNetwork,EdenNetwork,5,Main developer,Lead developer,C#,5,No,2,4,4,4,2,4,3,3,2,lead,0
10/18/2017 11:04:25,29,10,WordPress,WordPress,5,Developer,Developer,"PHP, JavaScript, Python",4,Yes,3,4,3,4,1,4,2,4,3,developer,0
10/18/2017 11:04:38,30,5,Flockademic,Flockademic,0,Developer,Developer,TypeScript,5,No,NA,4,4,3,4,4,4,2,2,developer,0
10/18/2017 11:06:47,31,7,Under NDA on it,Under NDA on it,1,a project manager/programmer,Lead developer,Java,5,Yes,3,2,4,4,3,2,4,4,1,lead,0
10/18/2017 11:17:46,32,2,Private code for work,Private code for work,1,developer,Developer,C,5,Yes,1,3,4,4,1,1,3,4,1,developer,0
10/18/2017 11:20:53,33,10,CrossPeak,CrossPeak,2,developer and tester,Everything,php,3,Yes,4,4,4,4,2,4,3,4,1,lead,0
10/18/2017 11:38:08,34,6,rest-api Frilans Finans,rest-api Frilans Finans,2,team leader,Team leader,PHP,4,No,4,1,4,3,4,2,2,4,1,lead,0
10/18/2017 11:58:01,35,10,Marine,Marine,0,Developer,Developer,Python,5,Yes,3,4,4,4,2,4,4,4,2,developer,0
10/18/2017 17:13:29,36,10,Private source app client,Private source app client,1,"Designer, developer",Designer; Developer,"TypeScript, HTML, CSS",4,Yes,2,4,4,3,2,4,2,3,2,developer,0
10/18/2017 17:22:53,37,10,DMS/DDS,DMS/DDS,4,Project lead and developer,Project Leader; Developer,"C++, Python, Ruby",5,Yes,4,4,3,4,2,3,4,4,1,lead,0
10/19/2017 4:19:00,38,4,PlayerTimes,PlayerTimes,0,Developer,Developer,Java,4,No,5,4,3,1,1,4,3,4,1,developer,0
10/24/2017 10:17:05,39,0,Nikola,Nikola,0,A user who contributes a few patches to fix bugs he finds using the software,Contributor,Python,1,Yes,2,4,3,4,4,3,3,4,4,developer,0
10/31/2017 11:11:04,40,6,Gitlab,GitLab,0,Developer,Developer,Ruby,3,Yes,2,4,4,3,1,4,3,4,4,developer,1
